Component,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
layer1-slat98_h2_staple_1,sw_src002,A1,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_2,sw_src002,A2,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_3,sw_src002,A3,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_4,sw_src002,A4,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_5,sw_src002,A5,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_6,sw_src002,A6,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_7,sw_src002,A7,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_8,sw_src002,A8,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_9,sw_src002,A9,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_10,sw_src002,A10,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_11,sw_src002,A11,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_12,sw_src002,A12,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_13,sw_src002,A13,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_14,P3555_SSW,A7,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_15,P3555_SSW,A8,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_16,P3555_SSW,A9,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_17,P3555_SSW,A10,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_18,P3555_SSW,A11,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_19,sw_src002,B3,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_20,sw_src002,B4,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_21,sw_src002,B5,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_22,sw_src002,B6,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_23,sw_src002,B7,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_24,sw_src002,B8,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_25,sw_src002,B9,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_26,sw_src002,B10,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_27,sw_src002,B11,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_28,sw_src002,B12,A3,150,crisscross_design_plate_1,384PP_AQ_BP
layer1-slat98_h2_staple_29,sw_src002,B13,A3,150,crisscross_design_plate_1,384PP_AQ_BP
