Component,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
layer1-slat1-up-copy1_h2_staple_1,sw_src009,{A5;B5;C5;D5},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_2,sw_src009,{A6;B6;C6;D6},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_3,sw_src009,{A7;B7;C7;D7},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_4,sw_src009,{A8;B8;C8;D8},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_5,sw_src009,{A9;B9;C9;D9},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_6,sw_src009,{A10;B10;C10;D10},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_7,sw_src009,{A11;B11;C11;D11},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_8,sw_src009,{A12;B12;C12;D12},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_9,sw_src009,{A13;B13;C13;D13},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_10,sw_src009,{A14;B14;C14;D14},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_11,sw_src009,{A15;B15;C15;D15},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_12,sw_src009,{A16;B16;C16;D16},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_13,sw_src009,{A17;B17;C17;D17},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_14,sw_src009,{A18;B18;C18;D18},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_15,sw_src009,{A19;B19;C19;D19},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_16,sw_src009,{A20;B20;C20;D20},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_17,sw_src009,{E5;F5;G5;H5},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_18,sw_src009,{E6;F6;G6;H6},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_19,sw_src009,{E7;F7;G7;H7},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_20,sw_src009,{E8;F8;G8;H8},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_21,sw_src009,{E9;F9;G9;H9},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_22,sw_src009,{E10;F10;G10;H10},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
layer1-slat1-up-copy1_h2_staple_23,sw_src009,{E11;F11;G11;H11},A1,200,repeating_units_slats_regular_1,384PP_AQ_BP
